Pavarde             Vardas              ND1    ND2    ND3    ND4    ND5    ND6    ND7    ND8    ND9    ND10   ND11   Egz. 
Pavarde8802         Vardas8802          8      2      4      1      6      3      6      10     6      1      5      1      
Pavarde8803         Vardas8803          5      5      10     6      7      9      3      8      6      6      7      8      
Pavarde8804         Vardas8804          2      4      9      7      3      8      10     5      2      3      7      9      
Pavarde8805         Vardas8805          6      5      10     2      2      6      3      4      3      8      5      10     
Pavarde8806         Vardas8806          5      6      8      3      5      8      4      9      3      6      5      5      
Pavarde8807         Vardas8807          1      2      3      2      2      4      7      5      5      6      1      9      
Pavarde8808         Vardas8808          1      3      6      9      6      9      7      10     9      9      2      5      
Pavarde8809         Vardas8809          6      2      8      3      2      9      10     9      6      8      5      7      
Pavarde8810         Vardas8810          4      10     9      8      2      10     2      9      9      2      10     8      
Pavarde8811         Vardas8811          5      9      8      10     9      1      7      5      2      5      7      2      
Pavarde8812         Vardas8812          1      9      4      2      6      8      6      3      5      5      8      8      
Pavarde8813         Vardas8813          5      2      5      10     8      8      6      4      6      8      6      6      
Pavarde8814         Vardas8814          5      2      4      8      4      10     1      1      6      5      6      3      
Pavarde8815         Vardas8815          2      8      8      8      8      6      10     7      7      2      4      10     
Pavarde8816         Vardas8816          2      1      8      3      1      10     8      6      7      1      10     8      
Pavarde8817         Vardas8817          4      9      2      3      10     4      10     10     4      8      3      9      
Pavarde8818         Vardas8818          9      7      4      4      3      4      1      4      9      5      5      10     
Pavarde8819         Vardas8819          9      3      3      6      6      3      10     2      9      2      2      4      
Pavarde8820         Vardas8820          3      3      3      2      9      4      7      2      8      4      5      3      
Pavarde8821         Vardas8821          4      8      8      1      6      2      5      7      3      5      10     7      
Pavarde8822         Vardas8822          2      9      5      10     4      8      3      5      5      3      9      6      
Pavarde8823         Vardas8823          10     4      4      7      3      3      3      3      9      8      1      4      
Pavarde8824         Vardas8824          1      4      5      9      3      5      2      7      3      8      8      4      
Pavarde8825         Vardas8825          7      6      3      2      4      10     3      4      6      7      5      9      
Pavarde8826         Vardas8826          10     5      6      3      6      9      10     3      1      3      6      5      
Pavarde8827         Vardas8827          7      1      10     2      9      3      10     7      10     2      2      8      
Pavarde8828         Vardas8828          6      3      7      7      6      1      5      4      7      9      4      2      
Pavarde8829         Vardas8829          1      9      7      10     8      3      4      3      3      10     7      9      
Pavarde8830         Vardas8830          4      5      7      4      5      2      6      5      6      3      8      6      
Pavarde8831         Vardas8831          5      5      10     10     6      8      7      10     9      5      6      1      
Pavarde8832         Vardas8832          2      10     6      1      3      2      5      6      3      6      5      2      
Pavarde8833         Vardas8833          4      10     1      10     1      1      10     1      3      6      5      6      
Pavarde8834         Vardas8834          4      3      6      4      3      7      3      2      1      1      8      2      
Pavarde8835         Vardas8835          5      1      2      5      8      6      5      4      2      3      2      2      
Pavarde8836         Vardas8836          9      1      5      10     7      10     6      9      4      10     4      3      
Pavarde8837         Vardas8837          4      8      10     2      1      4      3      8      6      2      1      5      
Pavarde8838         Vardas8838          5      10     6      6      9      8      4      3      1      10     9      7      
Pavarde8839         Vardas8839          6      2      8      1      6      10     9      2      6      9      7      4      
Pavarde8840         Vardas8840          1      7      2      9      2      6      4      8      10     7      2      10     
Pavarde8841         Vardas8841          5      5      1      9      7      10     10     8      7      7      1      7      
Pavarde8842         Vardas8842          2      10     8      3      8      2      3      9      9      2      8      2      
Pavarde8843         Vardas8843          5      3      1      10     10     6      6      2      4      10     1      4      
Pavarde8844         Vardas8844          5      2      1      6      7      2      6      1      4      8      7      4      
Pavarde8845         Vardas8845          6      1      2      6      6      6      3      2      2      10     3      9      
Pavarde8846         Vardas8846          9      1      3      2      10     5      10     4      7      2      6      10     
Pavarde8847         Vardas8847          9      9      7      8      10     1      3      10     6      10     6      10     
Pavarde8848         Vardas8848          4      9      4      6      7      5      9      9      9      2      10     1      
Pavarde8849         Vardas8849          1      4      6      3      3      10     7      8      4      3      1      4      
Pavarde8850         Vardas8850          4      9      10     9      8      9      4      2      8      6      4      1      
Pavarde8851         Vardas8851          10     9      2      10     1      5      9      3      1      6      7      2      
Pavarde8852         Vardas8852          2      7      10     6      8      2      4      10     2      8      10     7      
Pavarde8853         Vardas8853          3      4      2      8      5      10     1      7      7      6      9      8      
Pavarde8854         Vardas8854          5      6      7      3      8      7      4      3      10     10     6      4      
Pavarde8855         Vardas8855          9      2      4      8      6      3      7      4      8      8      5      6      
Pavarde8856         Vardas8856          10     6      9      5      2      5      9      2      9      9      9      10     
Pavarde8857         Vardas8857          6      9      2      8      4      3      1      2      6      2      6      6      
Pavarde8858         Vardas8858          5      6      1      8      10     8      6      9      3      4      5      5      
Pavarde8859         Vardas8859          6      4      4      3      10     1      2      2      8      8      2      7      
Pavarde8860         Vardas8860          8      10     2      10     6      7      5      2      3      5      9      10     
Pavarde8861         Vardas8861          9      5      4      2      6      3      7      2      9      7      2      10     
Pavarde8862         Vardas8862          1      5      4      3      8      10     10     8      2      7      4      5      
Pavarde8863         Vardas8863          5      3      1      2      8      8      7      6      8      1      1      4      
Pavarde8864         Vardas8864          10     1      1      5      6      2      3      1      3      8      5      6      
Pavarde8865         Vardas8865          9      5      8      4      1      9      3      8      6      1      9      4      
Pavarde8866         Vardas8866          10     4      4      2      7      7      3      9      7      4      5      10     
Pavarde8867         Vardas8867          2      8      1      3      1      7      4      10     1      7      5      3      
Pavarde8868         Vardas8868          10     3      7      10     10     4      6      8      10     9      4      5      
Pavarde8869         Vardas8869          6      7      6      7      5      9      4      9      10     7      4      2      
Pavarde8870         Vardas8870          10     2      3      4      1      10     7      9      5      5      4      7      
Pavarde8871         Vardas8871          4      3      10     4      8      10     2      6      2      7      4      2      
Pavarde8872         Vardas8872          3      4      10     4      5      5      1      8      1      8      1      6      
Pavarde8873         Vardas8873          9      7      4      3      2      8      3      5      3      7      7      10     
Pavarde8874         Vardas8874          10     10     4      4      6      5      4      2      5      4      10     1      
Pavarde8875         Vardas8875          6      6      7      2      9      5      10     6      1      9      9      10     
Pavarde8876         Vardas8876          5      8      3      1      7      7      5      7      10     10     2      10     
Pavarde8877         Vardas8877          5      7      5      8      7      6      9      5      9      10     7      7      
Pavarde8878         Vardas8878          7      4      2      7      4      10     10     5      2      2      5      6      
Pavarde8879         Vardas8879          9      9      3      5      9      1      1      5      5      2      10     3      
Pavarde8880         Vardas8880          1      3      7      5      10     6      5      9      5      1      6      9      
Pavarde8881         Vardas8881          7      9      9      7      6      4      8      4      9      9      5      2      
Pavarde8882         Vardas8882          9      1      10     8      9      10     10     10     6      5      10     4      
Pavarde8883         Vardas8883          7      4      4      8      10     1      1      5      7      9      4      8      
Pavarde8884         Vardas8884          4      5      2      10     3      2      5      10     4      10     3      10     
Pavarde8885         Vardas8885          5      3      3      2      9      7      3      8      6      7      6      2      
Pavarde8886         Vardas8886          5      10     1      6      7      1      4      6      1      8      7      1      
Pavarde8887         Vardas8887          3      7      7      5      5      7      2      9      2      7      9      1      
Pavarde8888         Vardas8888          8      4      5      6      1      7      1      4      10     7      4      1      
Pavarde8889         Vardas8889          6      1      9      8      8      3      5      9      8      10     3      10     
Pavarde8890         Vardas8890          10     10     9      9      9      1      8      8      4      9      3      1      
Pavarde8891         Vardas8891          9      7      4      1      7      2      4      5      6      9      2      3      
Pavarde8892         Vardas8892          1      9      10     6      10     3      2      2      1      8      9      8      
Pavarde8893         Vardas8893          4      3      6      4      2      7      6      7      5      9      9      1      
Pavarde8894         Vardas8894          4      8      8      7      7      9      10     3      4      3      4      2      
Pavarde8895         Vardas8895          5      5      6      2      10     10     2      5      4      10     8      4      
Pavarde8896         Vardas8896          3      2      8      10     10     10     6      1      9      7      1      4      
Pavarde8897         Vardas8897          5      2      2      8      10     5      3      6      8      3      8      1      
Pavarde8898         Vardas8898          7      8      6      5      5      4      7      3      1      5      1      9      
Pavarde8899         Vardas8899          1      4      5      4      9      10     4      8      1      2      2      1      
Pavarde8900         Vardas8900          8      5      8      10     8      5      4      7      2      1      5      6      
Pavarde8901         Vardas8901          2      9      4      9      7      5      7      1      9      1      3      2      
Pavarde8902         Vardas8902          6      4      3      3      3      3      9      5      3      1      2      9      
Pavarde8903         Vardas8903          3      7      2      7      8      10     5      6      6      4      1      3      
Pavarde8904         Vardas8904          7      7      7      3      3      6      6      10     3      3      3      1      
Pavarde8905         Vardas8905          7      1      5      1      1      5      7      10     2      10     2      7      
Pavarde8906         Vardas8906          8      8      8      5      5      6      8      5      1      6      9      9      
Pavarde8907         Vardas8907          8      5      3      6      1      7      7      6      4      3      1      7      
Pavarde8908         Vardas8908          6      3      7      5      4      3      10     2      1      10     9      4      
Pavarde8909         Vardas8909          3      2      1      3      5      10     3      8      3      8      1      5      
Pavarde8910         Vardas8910          6      6      2      9      5      1      6      2      1      8      8      10     
Pavarde8911         Vardas8911          10     7      2      10     10     5      5      6      8      9      2      9      
Pavarde8912         Vardas8912          1      6      8      7      7      5      5      2      4      6      1      9      
Pavarde8913         Vardas8913          3      4      1      2      3      10     10     1      3      8      4      6      
Pavarde8914         Vardas8914          10     8      7      9      4      3      8      8      6      2      6      7      
Pavarde8915         Vardas8915          7      9      10     10     1      3      4      1      1      2      8      1      
Pavarde8916         Vardas8916          8      2      10     3      9      5      1      1      3      3      2      5      
Pavarde8917         Vardas8917          1      8      10     5      8      6      8      4      9      4      3      8      
Pavarde8918         Vardas8918          3      10     7      8      5      1      9      3      10     1      4      8      
Pavarde8919         Vardas8919          10     2      4      3      7      1      7      7      2      8      9      7      
Pavarde8920         Vardas8920          3      2      3      8      1      8      1      9      7      9      8      9      
Pavarde8921         Vardas8921          10     9      9      1      6      10     8      7      8      1      6      9      
Pavarde8922         Vardas8922          9      8      2      10     2      10     10     3      3      5      2      3      
Pavarde8923         Vardas8923          6      2      5      4      2      4      2      1      3      8      8      5      
Pavarde8924         Vardas8924          4      8      5      9      7      10     1      4      3      10     8      8      
Pavarde8925         Vardas8925          8      6      5      6      6      6      7      8      9      10     4      6      
Pavarde8926         Vardas8926          4      4      8      1      1      10     1      5      2      8      5      10     
Pavarde8927         Vardas8927          4      3      2      8      5      7      4      4      6      9      3      5      
Pavarde8928         Vardas8928          6      5      1      2      6      7      9      2      1      7      4      8      
Pavarde8929         Vardas8929          9      8      1      1      5      1      4      5      6      10     9      9      
Pavarde8930         Vardas8930          9      6      10     10     8      6      10     2      1      1      6      3      
Pavarde8931         Vardas8931          5      5      2      10     8      10     5      3      9      1      5      10     
Pavarde8932         Vardas8932          1      4      6      7      9      6      5      2      7      4      3      6      
Pavarde8933         Vardas8933          8      9      6      7      4      5      9      4      4      10     8      4      
Pavarde8934         Vardas8934          5      8      1      8      10     7      3      5      7      5      6      3      
Pavarde8935         Vardas8935          6      7      3      7      5      7      3      4      9      10     7      5      
Pavarde8936         Vardas8936          1      2      2      1      9      9      5      4      3      2      5      2      
Pavarde8937         Vardas8937          6      10     3      4      6      3      3      1      10     1      2      4      
Pavarde8938         Vardas8938          10     10     9      1      6      3      7      5      9      5      2      1      
Pavarde8939         Vardas8939          8      6      1      1      2      5      8      4      6      5      3      2      
Pavarde8940         Vardas8940          10     8      3      5      10     10     5      7      10     6      5      9      
Pavarde8941         Vardas8941          6      6      4      9      2      9      3      5      4      3      6      6      
Pavarde8942         Vardas8942          8      1      4      1      9      9      7      2      10     2      4      7      
Pavarde8943         Vardas8943          6      2      10     5      1      2      2      9      5      6      2      1      
Pavarde8944         Vardas8944          9      9      4      4      1      9      5      4      8      2      5      6      
Pavarde8945         Vardas8945          3      5      3      4      9      9      8      10     5      7      2      3      
Pavarde8946         Vardas8946          1      3      4      1      7      10     9      6      9      9      6      9      
Pavarde8947         Vardas8947          4      1      7      1      1      9      7      10     2      2      6      6      
Pavarde8948         Vardas8948          1      3      7      2      1      7      2      1      1      7      3      7      
Pavarde8949         Vardas8949          5      2      2      9      7      7      10     6      5      5      9      6      
Pavarde8950         Vardas8950          1      4      6      3      2      1      8      2      7      6      1      6      
Pavarde8951         Vardas8951          6      10     8      2      1      2      10     10     10     10     4      8      
Pavarde8952         Vardas8952          3      3      4      3      4      10     10     7      9      7      8      3      
Pavarde8953         Vardas8953          4      6      1      10     7      8      7      2      3      6      7      6      
Pavarde8954         Vardas8954          3      7      6      6      4      3      10     3      4      10     8      1      
Pavarde8955         Vardas8955          1      2      5      4      4      8      4      4      3      3      2      1      
Pavarde8956         Vardas8956          10     4      2      8      1      1      1      6      2      9      6      3      
Pavarde8957         Vardas8957          9      3      10     10     5      9      6      8      3      7      8      3      
Pavarde8958         Vardas8958          4      9      5      2      3      2      7      7      8      7      4      2      
Pavarde8959         Vardas8959          9      7      2      3      4      1      6      4      5      8      2      6      
Pavarde8960         Vardas8960          9      1      10     7      8      8      9      9      2      6      5      5      
Pavarde8961         Vardas8961          10     4      3      6      6      7      1      3      10     8      9      5      
Pavarde8962         Vardas8962          6      6      6      7      1      3      1      1      6      8      9      9      
Pavarde8963         Vardas8963          8      6      3      10     5      5      2      6      3      2      9      8      
Pavarde8964         Vardas8964          7      6      3      9      7      3      10     3      4      3      1      7      
Pavarde8965         Vardas8965          3      7      6      2      7      1      2      10     1      10     4      7      
Pavarde8966         Vardas8966          2      1      9      9      9      10     6      2      8      7      5      10     
Pavarde8967         Vardas8967          7      5      2      6      4      3      10     1      6      4      10     9      
Pavarde8968         Vardas8968          5      4      9      10     3      8      8      3      1      1      7      4      
Pavarde8969         Vardas8969          7      6      3      10     4      5      1      3      5      10     4      2      
Pavarde8970         Vardas8970          3      3      6      8      2      3      3      7      1      4      2      6      
Pavarde8971         Vardas8971          8      8      1      10     7      5      10     7      10     7      7      7      
Pavarde8972         Vardas8972          7      4      3      8      3      4      1      5      4      4      9      5      
Pavarde8973         Vardas8973          8      2      4      9      6      1      4      1      10     5      6      9      
Pavarde8974         Vardas8974          5      3      2      6      4      5      4      2      2      6      10     6      
Pavarde8975         Vardas8975          4      9      1      5      3      1      7      5      8      10     7      5      
Pavarde8976         Vardas8976          9      4      10     9      7      7      3      9      7      9      7      1      
Pavarde8977         Vardas8977          1      1      8      2      1      9      8      1      1      9      5      5      
Pavarde8978         Vardas8978          7      4      6      4      1      7      7      8      9      4      9      6      
Pavarde8979         Vardas8979          3      5      2      6      3      8      9      9      3      2      5      5      
Pavarde8980         Vardas8980          4      7      10     4      7      6      10     8      4      8      7      3      
Pavarde8981         Vardas8981          1      6      7      5      8      6      8      5      1      6      9      9      
Pavarde8982         Vardas8982          10     5      9      3      10     7      9      7      5      1      1      8      
Pavarde8983         Vardas8983          2      3      8      8      10     2      10     8      2      10     5      1      
Pavarde8984         Vardas8984          6      2      7      6      9      4      7      5      2      1      9      9      
Pavarde8985         Vardas8985          5      7      8      2      3      10     1      7      1      1      3      6      
Pavarde8986         Vardas8986          9      5      3      2      5      5      5      1      8      10     8      9      
Pavarde8987         Vardas8987          7      2      9      5      6      4      3      7      8      10     2      2      
Pavarde8988         Vardas8988          9      4      6      8      1      10     8      3      10     1      4      8      
Pavarde8989         Vardas8989          4      5      2      5      10     9      4      7      10     7      1      6      
Pavarde8990         Vardas8990          7      5      2      7      10     3      3      6      10     2      10     6      
Pavarde8991         Vardas8991          3      4      9      7      8      1      5      8      9      3      6      10     
Pavarde8992         Vardas8992          7      5      5      7      2      10     10     6      9      4      1      9      
Pavarde8993         Vardas8993          3      10     3      1      4      10     4      10     10     8      1      3      
Pavarde8994         Vardas8994          6      6      5      10     1      1      2      9      5      9      7      7      
Pavarde8995         Vardas8995          5      1      2      8      3      8      6      2      1      1      2      5      
Pavarde8996         Vardas8996          8      1      5      8      10     10     2      7      10     7      4      9      
Pavarde8997         Vardas8997          2      5      2      7      10     6      6      8      5      5      4      2      
Pavarde8998         Vardas8998          7      9      7      7      5      9      2      6      3      7      4      2      
Pavarde8999         Vardas8999          10     6      3      5      6      2      1      1      7      1      9      4      
Pavarde9000         Vardas9000          9      1      6      7      6      9      10     7      2      9      4      9      
Pavarde9001         Vardas9001          9      10     1      6      9      2      5      1      9      1      6      10     
Pavarde9002         Vardas9002          8      1      3      8      2      2      6      9      6      8      3      5      
Pavarde9003         Vardas9003          3      7      7      7      10     5      8      3      9      9      9      5      
Pavarde9004         Vardas9004          2      1      10     2      3      6      7      5      2      9      5      7      
Pavarde9005         Vardas9005          9      3      10     5      5      1      8      10     9      9      8      6      
Pavarde9006         Vardas9006          1      3      5      1      5      6      10     3      8      2      7      7      
Pavarde9007         Vardas9007          2      3      5      6      5      1      9      3      6      3      2      2      
Pavarde9008         Vardas9008          6      2      10     4      10     9      8      10     8      4      1      10     
Pavarde9009         Vardas9009          7      1      6      6      4      8      1      3      1      6      10     9      
Pavarde9010         Vardas9010          6      7      2      10     3      5      7      10     9      9      7      7      
Pavarde9011         Vardas9011          1      6      1      7      8      4      3      1      3      6      5      10     
Pavarde9012         Vardas9012          1      10     9      8      4      3      1      3      4      5      10     8      
Pavarde9013         Vardas9013          3      1      8      6      6      3      9      3      2      6      4      2      
Pavarde9014         Vardas9014          3      10     9      9      9      6      3      5      6      9      10     1      
Pavarde9015         Vardas9015          7      4      9      9      1      10     5      6      3      4      2      9      
Pavarde9016         Vardas9016          2      2      9      10     2      1      7      9      7      9      8      7      
Pavarde9017         Vardas9017          2      1      3      4      5      5      9      2      2      4      7      1      
Pavarde9018         Vardas9018          3      9      1      7      7      4      2      5      10     7      3      9      
Pavarde9019         Vardas9019          1      5      3      8      5      2      3      5      3      10     2      6      
Pavarde9020         Vardas9020          5      4      7      7      8      9      8      5      3      4      2      1      
Pavarde9021         Vardas9021          9      7      7      8      9      5      1      7      7      3      8      8      
Pavarde9022         Vardas9022          4      2      1      3      6      6      6      6      9      1      3      2      
Pavarde9023         Vardas9023          5      2      10     4      5      2      7      10     2      7      2      8      
Pavarde9024         Vardas9024          10     6      1      1      8      6      5      10     5      3      2      3      
Pavarde9025         Vardas9025          1      10     6      9      3      2      9      4      7      10     7      2      
Pavarde9026         Vardas9026          2      6      5      10     2      10     10     3      9      1      5      7      
Pavarde9027         Vardas9027          8      7      1      4      8      3      9      3      4      5      4      3      
Pavarde9028         Vardas9028          10     3      7      4      6      2      8      8      7      9      9      4      
Pavarde9029         Vardas9029          10     8      10     3      2      9      1      10     4      2      5      7      
Pavarde9030         Vardas9030          8      5      5      7      6      6      3      6      4      4      2      8      
Pavarde9031         Vardas9031          6      2      7      9      3      9      7      7      2      9      10     1      
Pavarde9032         Vardas9032          10     2      2      9      10     7      5      9      5      10     3      4      
Pavarde9033         Vardas9033          7      4      10     4      1      10     7      5      9      8      9      9      
Pavarde9034         Vardas9034          4      3      1      10     10     8      5      9      9      7      3      8      
Pavarde9035         Vardas9035          8      9      10     2      2      9      9      1      2      2      1      8      
Pavarde9036         Vardas9036          3      5      3      8      1      8      4      6      7      7      1      3      
Pavarde9037         Vardas9037          2      5      7      2      8      2      5      9      2      4      7      6      
Pavarde9038         Vardas9038          4      9      10     1      10     8      9      7      7      3      6      7      
Pavarde9039         Vardas9039          2      1      3      1      8      9      6      6      2      9      1      1      
Pavarde9040         Vardas9040          5      1      9      4      1      9      1      4      5      3      3      2      
Pavarde9041         Vardas9041          2      7      1      6      6      9      10     10     9      9      6      10     
Pavarde9042         Vardas9042          5      8      4      7      2      6      4      9      9      10     1      7      
Pavarde9043         Vardas9043          1      7      3      1      7      8      8      10     4      1      5      10     
Pavarde9044         Vardas9044          6      7      8      1      2      10     10     3      10     4      8      9      
Pavarde9045         Vardas9045          9      1      7      8      4      7      3      2      6      10     1      2      
Pavarde9046         Vardas9046          4      9      2      6      10     3      3      6      7      10     9      7      
Pavarde9047         Vardas9047          2      5      8      3      10     3      8      6      1      4      7      10     
Pavarde9048         Vardas9048          8      8      2      9      7      3      10     4      7      7      3      1      
Pavarde9049         Vardas9049          4      8      9      8      3      6      10     9      2      7      7      10     
Pavarde9050         Vardas9050          4      4      5      9      8      6      7      3      1      1      10     5      
Pavarde9051         Vardas9051          2      4      2      3      10     8      6      6      3      7      3      4      
Pavarde9052         Vardas9052          4      2      1      8      10     10     4      4      8      10     1      9      
Pavarde9053         Vardas9053          1      8      3      9      3      9      4      6      5      3      9      1      
Pavarde9054         Vardas9054          4      8      9      9      8      3      5      4      10     8      1      10     
Pavarde9055         Vardas9055          5      10     7      8      6      4      5      9      4      10     7      7      
Pavarde9056         Vardas9056          6      5      9      10     4      6      6      10     1      10     10     4      
Pavarde9057         Vardas9057          8      7      2      7      9      3      8      8      6      1      5      6      
Pavarde9058         Vardas9058          4      2      3      7      6      8      9      8      8      9      2      7      
Pavarde9059         Vardas9059          2      4      9      7      2      10     6      3      4      9      2      1      
Pavarde9060         Vardas9060          1      5      10     8      9      4      4      7      5      2      4      2      
Pavarde9061         Vardas9061          2      7      5      6      5      6      4      6      9      4      8      1      
Pavarde9062         Vardas9062          2      2      9      7      2      1      7      8      9      6      5      5      
Pavarde9063         Vardas9063          9      10     3      10     10     5      4      4      1      10     4      8      
Pavarde9064         Vardas9064          9      5      1      3      10     3      8      4      2      3      10     8      
Pavarde9065         Vardas9065          10     3      10     6      1      6      8      6      6      4      7      6      
Pavarde9066         Vardas9066          1      6      9      4      4      7      2      3      3      2      5      5      
Pavarde9067         Vardas9067          8      1      8      8      2      1      6      4      5      7      7      4      
Pavarde9068         Vardas9068          8      9      4      5      3      8      9      7      1      3      3      8      
Pavarde9069         Vardas9069          7      4      4      2      2      1      1      1      2      1      4      9      
Pavarde9070         Vardas9070          3      1      6      5      1      1      3      10     8      10     8      5      
Pavarde9071         Vardas9071          4      6      8      5      6      6      4      8      5      10     9      10     
Pavarde9072         Vardas9072          1      3      8      7      7      8      2      5      10     9      6      10     
Pavarde9073         Vardas9073          10     9      4      2      2      8      1      2      4      10     1      4      
Pavarde9074         Vardas9074          5      9      4      2      6      7      2      7      3      2      4      4      
Pavarde9075         Vardas9075          7      3      6      4      10     10     3      10     8      2      4      9      
Pavarde9076         Vardas9076          6      3      7      6      5      9      3      4      3      8      4      5      
Pavarde9077         Vardas9077          9      5      4      1      6      5      10     2      1      1      5      9      
Pavarde9078         Vardas9078          1      4      2      2      10     10     7      2      6      1      1      2      
Pavarde9079         Vardas9079          8      7      5      9      6      8      5      8      1      3      7      8      
Pavarde9080         Vardas9080          3      5      5      4      2      3      3      5      1      6      10     4      
Pavarde9081         Vardas9081          9      9      4      6      4      1      2      3      8      8      1      1      
Pavarde9082         Vardas9082          9      4      10     7      10     8      9      10     3      7      4      4      
Pavarde9083         Vardas9083          3      3      9      7      7      9      5      4      10     1      6      1      
Pavarde9084         Vardas9084          4      8      8      1      7      8      10     2      9      1      1      5      
Pavarde9085         Vardas9085          10     4      6      5      10     10     3      10     10     3      6      5      
Pavarde9086         Vardas9086          4      1      2      7      9      8      8      5      8      8      4      8      
Pavarde9087         Vardas9087          10     3      6      9      6      3      8      5      4      10     4      10     
Pavarde9088         Vardas9088          10     3      1      3      2      10     10     10     6      7      2      5      
Pavarde9089         Vardas9089          2      8      3      7      1      1      3      9      7      4      5      4      
Pavarde9090         Vardas9090          8      10     10     2      3      2      4      5      9      10     7      6      
Pavarde9091         Vardas9091          2      3      7      8      8      10     8      1      1      3      5      4      
Pavarde9092         Vardas9092          9      1      8      8      8      10     7      4      10     4      8      4      
Pavarde9093         Vardas9093          5      1      6      8      10     1      5      5      7      7      6      3      
Pavarde9094         Vardas9094          2      3      2      7      8      6      7      2      4      5      1      9      
Pavarde9095         Vardas9095          7      8      6      2      5      7      1      10     1      8      3      1      
Pavarde9096         Vardas9096          1      1      8      6      2      7      2      10     7      7      2      3      
Pavarde9097         Vardas9097          6      2      4      4      9      8      9      5      1      9      3      7      
Pavarde9098         Vardas9098          4      5      1      1      9      8      7      3      7      1      9      8      
Pavarde9099         Vardas9099          10     3      5      3      5      4      2      9      5      6      1      6      
Pavarde9100         Vardas9100          3      9      9      4      8      5      5      9      4      1      10     10     
Pavarde9101         Vardas9101          2      8      5      4      7      7      9      5      8      7      3      4      
Pavarde9102         Vardas9102          2      7      7      10     6      10     3      2      8      8      8      7      
Pavarde9103         Vardas9103          1      6      5      9      2      7      3      6      4      5      7      5      
Pavarde9104         Vardas9104          2      9      5      2      3      10     3      7      5      4      7      3      
Pavarde9105         Vardas9105          6      6      10     5      7      3      6      8      6      9      4      8      
Pavarde9106         Vardas9106          1      4      2      7      7      4      7      9      2      2      3      4      
Pavarde9107         Vardas9107          1      6      3      8      5      5      10     2      1      6      2      8      
Pavarde9108         Vardas9108          6      2      9      1      4      1      1      9      4      10     9      7      
Pavarde9109         Vardas9109          2      7      2      9      3      8      9      2      2      2      4      3      
Pavarde9110         Vardas9110          2      2      8      3      4      1      7      4      9      5      1      10     
Pavarde9111         Vardas9111          6      8      5      5      9      1      9      10     6      10     4      5      
Pavarde9112         Vardas9112          4      2      7      5      4      6      9      4      7      3      7      5      
Pavarde9113         Vardas9113          7      1      7      8      6      3      10     6      6      10     6      3      
Pavarde9114         Vardas9114          1      9      10     9      3      4      6      4      5      10     8      3      
Pavarde9115         Vardas9115          9      6      9      2      9      7      7      3      10     6      1      3      
Pavarde9116         Vardas9116          9      3      4      8      8      5      6      1      2      9      9      10     
Pavarde9117         Vardas9117          1      3      8      8      2      9      1      2      9      3      6      7      
Pavarde9118         Vardas9118          3      10     1      1      4      5      5      9      7      4      2      6      
Pavarde9119         Vardas9119          7      8      3      3      8      1      1      1      7      3      6      3      
Pavarde9120         Vardas9120          3      1      10     6      9      8      7      8      5      2      7      9      
Pavarde9121         Vardas9121          3      1      3      3      5      4      2      5      1      4      10     3      
Pavarde9122         Vardas9122          6      10     1      4      3      5      5      10     1      1      2      4      
Pavarde9123         Vardas9123          3      1      8      10     4      3      6      7      4      6      1      9      
Pavarde9124         Vardas9124          6      6      6      3      2      3      4      6      3      1      6      8      
Pavarde9125         Vardas9125          5      5      7      3      2      9      8      1      1      10     2      4      
Pavarde9126         Vardas9126          6      10     8      2      10     9      1      10     2      8      1      10     
Pavarde9127         Vardas9127          6      1      9      6      2      10     8      1      3      2      1      8      
Pavarde9128         Vardas9128          7      3      7      1      4      3      1      10     5      9      2      5      
Pavarde9129         Vardas9129          10     4      6      1      8      4      3      9      6      6      2      1      
Pavarde9130         Vardas9130          7      3      9      9      3      1      8      6      3      3      5      3      
Pavarde9131         Vardas9131          1      5      4      2      6      3      7      4      6      2      4      5      
Pavarde9132         Vardas9132          4      1      8      4      1      2      5      9      7      3      4      4      
Pavarde9133         Vardas9133          4      1      1      10     5      9      3      4      4      1      8      6      
Pavarde9134         Vardas9134          4      7      9      9      5      7      1      10     2      10     10     8      
Pavarde9135         Vardas9135          5      10     8      7      6      4      9      1      6      6      2      9      
Pavarde9136         Vardas9136          9      1      8      3      7      10     1      6      6      6      6      7      
Pavarde9137         Vardas9137          3      9      4      2      2      3      8      4      1      7      6      7      
Pavarde9138         Vardas9138          3      8      10     3      9      6      9      6      4      9      3      7      
Pavarde9139         Vardas9139          3      4      6      2      1      8      4      7      8      9      9      10     
Pavarde9140         Vardas9140          2      3      7      6      7      8      1      4      5      7      2      7      
Pavarde9141         Vardas9141          6      4      7      9      6      3      8      4      3      3      10     8      
Pavarde9142         Vardas9142          5      2      3      6      8      8      9      3      9      6      4      7      
Pavarde9143         Vardas9143          8      10     6      5      2      8      3      4      8      1      6      1      
Pavarde9144         Vardas9144          6      5      6      3      4      6      8      8      6      1      3      9      
Pavarde9145         Vardas9145          1      6      2      9      9      10     4      4      9      6      5      1      
Pavarde9146         Vardas9146          10     7      10     9      7      3      5      7      4      5      7      10     
Pavarde9147         Vardas9147          8      5      4      9      10     3      10     2      1      9      9      1      
Pavarde9148         Vardas9148          9      5      5      2      2      3      2      3      10     5      5      1      
Pavarde9149         Vardas9149          3      10     3      2      10     4      9      7      2      8      3      9      
