Pavarde             Vardas              ND1    ND2    ND3    ND4    ND5    ND6    ND7    ND8    ND9    ND10   ND11   ND12   ND13   ND14   ND15   ND16   Egz. 
Pavarde867          Vardas867           3      1      3      7      1      10     3      5      1      9      6      2      1      3      7      2      9      
Pavarde868          Vardas868           10     10     6      5      4      10     10     8      3      2      1      8      10     8      2      1      3      
Pavarde869          Vardas869           5      1      10     6      3      4      9      4      5      1      7      5      1      3      2      9      3      
Pavarde870          Vardas870           7      3      3      8      1      7      2      4      6      8      10     10     5      10     9      5      2      
Pavarde871          Vardas871           9      4      5      10     7      7      8      4      7      8      9      10     2      9      5      5      3      
Pavarde872          Vardas872           8      3      3      2      1      1      5      1      9      9      5      3      1      4      10     4      6      
Pavarde873          Vardas873           2      3      3      1      3      3      10     8      3      6      4      7      1      10     3      2      5      
Pavarde874          Vardas874           7      7      5      7      5      6      4      2      1      8      8      3      5      9      8      9      3      
Pavarde875          Vardas875           5      4      3      9      8      4      1      4      5      4      8      6      1      3      7      9      8      
Pavarde876          Vardas876           5      9      3      5      5      1      5      6      6      5      6      1      2      9      7      9      6      
Pavarde877          Vardas877           5      2      5      6      7      7      7      3      4      5      2      5      3      7      6      1      1      
Pavarde878          Vardas878           10     4      10     10     7      3      5      6      3      3      3      6      9      10     4      2      10     
Pavarde879          Vardas879           6      10     8      9      6      10     1      3      7      7      6      7      7      6      8      4      2      
Pavarde880          Vardas880           8      10     8      1      3      6      4      10     5      5      4      8      9      3      5      2      1      
Pavarde881          Vardas881           6      2      3      7      5      9      5      7      8      9      7      10     7      8      6      7      9      
Pavarde882          Vardas882           10     8      4      4      3      8      3      6      10     3      3      6      5      2      9      1      4      
Pavarde883          Vardas883           8      1      9      6      8      10     6      8      2      1      3      8      1      9      3      2      3      
Pavarde884          Vardas884           1      10     7      3      3      1      8      3      9      1      4      2      10     5      2      5      6      
Pavarde885          Vardas885           7      3      2      1      2      2      8      4      1      1      8      8      10     8      5      4      2      
Pavarde886          Vardas886           7      8      1      4      5      2      3      6      10     8      6      7      6      4      9      7      3      
Pavarde887          Vardas887           5      1      4      6      1      9      6      1      7      10     3      4      4      6      4      7      4      
Pavarde888          Vardas888           1      8      10     7      5      5      8      6      1      2      5      8      3      3      9      3      7      
Pavarde889          Vardas889           9      6      4      10     6      8      3      9      5      1      4      3      2      7      8      10     4      
Pavarde890          Vardas890           5      9      1      9      2      8      1      3      2      7      4      9      1      10     10     3      4      
Pavarde891          Vardas891           1      10     4      6      10     9      6      9      8      4      9      5      8      7      6      1      7      
Pavarde892          Vardas892           5      9      3      9      5      6      9      1      6      5      8      9      1      7      4      2      10     
Pavarde893          Vardas893           3      7      7      7      2      8      9      3      3      3      6      6      8      1      7      7      7      
Pavarde894          Vardas894           7      2      1      9      10     6      6      5      9      9      8      7      7      3      6      5      9      
Pavarde895          Vardas895           8      2      10     8      8      5      3      4      8      5      10     9      8      1      1      1      1      
Pavarde896          Vardas896           5      2      9      3      2      2      1      3      7      9      4      7      2      7      9      6      3      
Pavarde897          Vardas897           2      5      10     4      8      6      6      5      10     10     7      3      4      3      1      4      3      
Pavarde898          Vardas898           3      6      10     3      6      8      10     5      4      6      8      8      7      8      2      2      7      
Pavarde899          Vardas899           9      9      3      8      5      3      4      7      8      5      3      9      10     2      6      3      7      
Pavarde900          Vardas900           7      1      7      9      2      9      4      9      10     8      8      5      6      9      8      8      6      
Pavarde901          Vardas901           1      6      3      3      4      8      10     6      6      8      6      8      1      7      4      3      2      
Pavarde902          Vardas902           3      6      10     3      6      5      9      2      7      2      3      3      5      6      4      9      3      
Pavarde903          Vardas903           9      5      2      7      8      1      10     10     1      1      10     8      9      10     8      10     3      
Pavarde904          Vardas904           6      3      3      3      8      9      2      7      6      4      2      6      5      7      3      8      6      
Pavarde905          Vardas905           8      8      5      10     8      3      5      9      2      6      9      9      4      10     1      1      4      
Pavarde906          Vardas906           10     9      3      1      8      10     10     9      9      2      4      6      4      1      2      10     2      
Pavarde907          Vardas907           8      4      4      8      3      9      3      8      3      6      5      5      9      9      4      2      2      
Pavarde908          Vardas908           4      9      9      10     9      2      10     9      8      6      2      10     10     7      5      1      4      
Pavarde909          Vardas909           5      4      7      5      8      8      1      7      7      10     7      9      4      6      6      5      6      
Pavarde910          Vardas910           9      7      1      4      7      8      8      9      3      4      7      2      1      9      2      2      10     
Pavarde911          Vardas911           7      5      8      9      10     1      2      2      10     1      9      8      5      1      4      10     2      
Pavarde912          Vardas912           2      8      7      3      1      8      9      6      6      4      10     2      1      6      6      1      3      
Pavarde913          Vardas913           8      1      2      2      5      9      9      7      10     5      10     9      8      8      8      3      4      
Pavarde914          Vardas914           4      2      3      8      5      7      2      5      2      6      10     8      7      4      2      3      6      
Pavarde915          Vardas915           10     9      8      5      1      8      2      5      7      2      6      3      2      6      5      9      3      
Pavarde916          Vardas916           2      4      8      6      9      4      4      5      5      5      9      4      2      8      7      3      2      
Pavarde917          Vardas917           1      6      5      7      2      10     9      8      6      4      3      6      7      2      8      10     10     
Pavarde918          Vardas918           5      10     3      1      6      7      6      2      4      3      10     8      3      2      10     8      10     
Pavarde919          Vardas919           2      8      5      7      7      3      9      7      3      7      4      5      3      1      4      2      9      
Pavarde920          Vardas920           4      5      2      3      8      2      3      2      1      4      7      6      10     9      4      1      8      
Pavarde921          Vardas921           7      4      4      4      7      10     8      9      3      1      5      8      2      7      9      10     1      
Pavarde922          Vardas922           4      2      5      4      6      1      5      9      6      8      7      10     9      1      10     2      5      
Pavarde923          Vardas923           6      6      8      3      5      8      9      5      1      4      2      4      4      9      1      3      4      
Pavarde924          Vardas924           4      7      5      4      5      5      10     5      8      4      4      2      7      10     1      10     1      
Pavarde925          Vardas925           6      10     9      9      10     3      6      8      1      10     6      2      7      4      8      7      8      
Pavarde926          Vardas926           10     4      8      4      10     7      6      6      3      6      2      7      3      8      6      4      8      
Pavarde927          Vardas927           9      1      8      3      2      3      4      4      10     7      4      6      3      1      1      3      7      
Pavarde928          Vardas928           1      4      5      10     2      3      9      4      7      9      6      3      2      10     3      9      4      
Pavarde929          Vardas929           8      7      4      2      9      1      6      5      9      8      7      5      6      2      5      9      7      
Pavarde930          Vardas930           3      7      5      9      1      5      1      7      5      6      7      1      10     8      3      3      7      
Pavarde931          Vardas931           2      10     7      5      1      1      2      10     4      6      1      9      3      9      7      7      6      
Pavarde932          Vardas932           7      9      6      4      8      5      6      8      9      8      10     6      9      8      9      9      6      
Pavarde933          Vardas933           6      3      2      5      6      2      9      6      10     10     4      9      2      2      5      1      9      
Pavarde934          Vardas934           8      5      10     4      1      3      10     8      9      1      4      3      6      8      10     3      9      
Pavarde935          Vardas935           7      3      2      6      8      4      6      2      7      3      10     9      4      10     2      9      8      
Pavarde936          Vardas936           3      3      2      8      7      7      2      6      8      3      9      10     8      2      1      4      10     
Pavarde937          Vardas937           9      9      4      4      3      7      1      8      1      5      3      8      2      5      7      8      10     
Pavarde938          Vardas938           7      8      3      6      5      2      2      2      3      7      1      6      4      1      10     4      5      
Pavarde939          Vardas939           4      6      8      7      4      3      8      7      2      10     9      2      2      4      5      8      6      
Pavarde940          Vardas940           5      9      3      5      6      9      8      9      1      3      6      7      1      7      1      9      1      
Pavarde941          Vardas941           8      6      8      8      6      6      4      2      10     1      3      2      2      5      2      4      2      
Pavarde942          Vardas942           10     5      6      9      4      2      8      5      1      6      3      7      4      8      9      7      8      
Pavarde943          Vardas943           4      7      4      4      4      3      6      10     3      4      10     2      6      5      4      4      3      
Pavarde944          Vardas944           10     5      6      3      8      4      1      4      7      3      4      3      6      3      2      4      3      
Pavarde945          Vardas945           5      10     9      3      8      7      1      8      3      10     5      8      3      10     2      10     10     
Pavarde946          Vardas946           10     8      6      10     6      5      3      5      4      5      1      8      8      3      2      9      2      
Pavarde947          Vardas947           3      3      10     7      7      2      9      4      10     7      7      4      1      2      5      7      7      
Pavarde948          Vardas948           3      9      8      9      10     3      6      4      6      5      7      10     6      1      3      1      5      
Pavarde949          Vardas949           5      3      2      6      9      7      2      8      7      5      5      1      10     10     8      3      7      
Pavarde950          Vardas950           2      10     3      5      1      3      1      1      2      5      5      3      1      6      8      5      3      
Pavarde951          Vardas951           8      1      2      10     6      2      10     1      5      2      4      8      1      2      6      7      1      
Pavarde952          Vardas952           3      1      1      2      2      8      6      10     1      4      3      8      9      2      9      6      8      
Pavarde953          Vardas953           4      6      3      10     2      10     3      5      10     8      5      4      3      2      6      2      5      
Pavarde954          Vardas954           7      6      4      3      3      3      1      6      6      9      5      9      6      7      10     7      8      
Pavarde955          Vardas955           6      9      8      7      6      10     2      2      5      8      9      6      7      1      4      1      5      
Pavarde956          Vardas956           7      1      1      1      9      10     3      3      10     7      3      8      6      5      6      9      1      
Pavarde957          Vardas957           1      3      5      8      9      6      4      10     5      9      9      8      8      1      6      5      10     
Pavarde958          Vardas958           10     9      6      9      2      10     8      6      2      6      1      5      8      6      4      6      3      
Pavarde959          Vardas959           6      9      9      2      10     3      1      5      10     6      8      5      7      2      4      7      6      
Pavarde960          Vardas960           1      3      8      2      3      2      4      4      5      6      8      9      1      4      5      9      5      
Pavarde961          Vardas961           1      4      4      1      1      7      7      10     4      7      1      9      3      7      3      3      10     
Pavarde962          Vardas962           1      6      10     4      3      5      6      4      1      5      7      10     8      6      3      2      8      
Pavarde963          Vardas963           2      3      7      6      1      2      5      3      9      7      1      6      7      3      4      9      10     
Pavarde964          Vardas964           4      3      10     10     4      2      7      3      1      6      9      3      10     6      1      9      1      
Pavarde965          Vardas965           8      6      2      6      3      10     2      7      3      5      2      7      6      7      3      5      7      
Pavarde966          Vardas966           8      3      10     8      6      1      5      8      2      9      3      10     10     10     7      3      8      
Pavarde967          Vardas967           2      6      3      2      10     3      9      9      9      1      8      3      6      2      4      1      7      
Pavarde968          Vardas968           9      6      8      9      8      10     6      4      1      2      1      10     9      10     7      6      2      
Pavarde969          Vardas969           5      7      10     7      2      2      1      10     7      2      6      1      8      9      6      7      8      
Pavarde970          Vardas970           5      10     3      2      10     5      1      1      6      1      8      10     7      2      8      7      9      
Pavarde971          Vardas971           2      6      8      4      5      4      8      9      5      4      8      1      2      10     9      6      10     
Pavarde972          Vardas972           4      3      8      8      8      9      7      6      7      5      9      3      4      5      5      10     5      
Pavarde973          Vardas973           7      3      8      4      5      7      8      1      10     1      5      10     8      6      10     3      7      
Pavarde974          Vardas974           5      7      1      7      7      9      3      1      2      6      2      1      10     5      3      7      6      
Pavarde975          Vardas975           10     3      4      2      5      1      10     2      1      6      8      8      9      8      10     2      8      
Pavarde976          Vardas976           7      3      7      1      5      6      2      3      1      8      9      3      10     6      5      4      4      
Pavarde977          Vardas977           7      1      7      2      4      10     4      10     8      5      2      4      6      2      9      1      10     
Pavarde978          Vardas978           10     4      10     4      1      1      4      1      4      9      10     1      6      2      5      7      4      
Pavarde979          Vardas979           1      9      3      9      2      6      5      8      1      10     9      2      10     6      7      7      1      
Pavarde980          Vardas980           3      3      6      1      2      5      6      5      9      7      10     8      10     5      2      1      10     
Pavarde981          Vardas981           7      2      4      3      8      10     5      1      6      1      3      1      9      5      4      4      2      
Pavarde982          Vardas982           4      5      8      2      10     9      4      10     4      5      2      9      7      3      1      3      10     
Pavarde983          Vardas983           4      4      3      8      3      10     10     8      7      3      2      1      2      2      6      2      9      
Pavarde984          Vardas984           10     9      10     5      1      10     9      6      5      10     1      2      1      10     2      10     7      
Pavarde985          Vardas985           1      6      3      2      1      9      1      6      1      8      1      7      5      4      3      7      3      
Pavarde986          Vardas986           2      4      6      7      2      6      4      7      3      1      7      5      6      9      6      7      4      
Pavarde987          Vardas987           2      5      6      8      10     1      10     7      8      10     1      3      3      10     10     8      7      
Pavarde988          Vardas988           5      10     3      7      7      10     9      10     8      3      5      8      7      7      2      7      4      
Pavarde989          Vardas989           8      8      3      9      3      3      2      8      2      10     10     2      4      5      2      10     7      
Pavarde990          Vardas990           6      1      5      1      10     7      7      1      2      7      2      5      3      1      3      3      1      
Pavarde991          Vardas991           9      3      8      2      5      3      2      6      2      9      8      1      9      5      10     4      2      
Pavarde992          Vardas992           9      1      9      6      8      1      4      2      6      9      7      3      8      10     7      1      10     
Pavarde993          Vardas993           2      5      4      3      3      3      1      5      2      8      6      1      9      1      6      8      8      
Pavarde994          Vardas994           9      9      1      7      7      5      1      10     6      6      8      5      2      7      2      4      8      
Pavarde995          Vardas995           6      8      8      1      6      4      1      6      1      5      1      7      6      3      4      7      3      
Pavarde996          Vardas996           1      1      7      2      4      4      2      4      6      6      1      3      7      9      2      3      9      
Pavarde997          Vardas997           7      10     9      1      10     1      8      5      1      2      8      1      9      9      3      1      2      
Pavarde998          Vardas998           3      8      1      1      3      7      8      8      2      8      9      5      5      4      8      2      6      
Pavarde999          Vardas999           9      1      3      9      2      4      4      9      6      5      6      4      9      2      7      6      5      
Pavarde1000         Vardas1000          10     2      5      7      7      1      2      6      6      6      2      4      1      3      5      8      3      
